departure_airport,arrival_airport,airlines,aircraft_types
Addis Ababa Bole International Airport,N'Djamena International Airport,Safari Express Cargo,Boeing 737-800;Boeing 767-300;Boeing 757-200
Addis Ababa Bole International Airport,Ndjili International Airport,Safari Express Cargo,Boeing 787-8
Addis Ababa Bole International Airport,Nnamdi Azikiwe International Airport,Safari Express Cargo,Boeing 777-200LR
Addis Ababa Bole International Airport,OR Tambo International Airport,Safari Express Cargo;VIP-Avia,Boeing 777-200LR
Addis Ababa Bole International Airport,Ouagadougou Airport,Safari Express Cargo,Boeing 757-200
Addis Ababa Bole International Airport,Pointe Noire Airport,Safari Express Cargo,Boeing 737-800
Addis Ababa Bole International Airport,Quatro de Fevereiro Airport,Egyptair;Safari Express Cargo,Boeing 777-300ER
Addis Ababa Bole International Airport,Robert Gabriel Mugabe International Airport,Eagle Canyon Airlines;Safari Express Cargo;White;Vuelos Internos Privados VIP,Boeing 787-8
Addis Ababa Bole International Airport,Sana'a International Airport,Servicios Aereos Universitarios,Airbus A330;Airbus A310
Addis Ababa Bole International Airport,Shanghai Pudong International Airport,Safari Express Cargo,Boeing 777-200LR;Boeing 787-8
Addis Ababa Bole International Airport,Suvarnabhumi Airport,Safari Express Cargo;WRA Inc,Boeing 767-300
Adelaide International Airport,Auckland International Airport,Zantop International Airlines;Transbrasil;Hellenic Star Airways;Tajikstan,Airbus A320
Adelaide International Airport,Brisbane International Airport,Transbrasil;Hellenic Star Airways;SAM Colombia;Windrose Air,Embraer 190;Boeing 737;Airbus A320
Adelaide International Airport,Broken Hill Airport,Alghanim,Saab SF340A/B
Adelaide International Airport,Cairns International Airport,Transbrasil,Airbus A320
Adelaide International Airport,Canberra International Airport,Hellenic Star Airways,Embraer 190
Adelaide International Airport,Ceduna Airport,Alghanim,Saab SF340A/B
Adelaide International Airport,Coober Pedy Airport,Alghanim,Saab SF340A/B
Adelaide International Airport,Darwin International Airport,Transbrasil,Airbus A320
Adelaide International Airport,Dubai International Airport,Ues-Avia Aircompany;Swift Air (Interstate Equipment Leasing),Boeing 777-300ER
Adelaide International Airport,Gold Coast Airport,Transbrasil,Airbus A320
Adelaide International Airport,Hong Kong International Airport,Cathay Pacific,Airbus A330-300
Adelaide International Airport,Kalgoorlie Boulder Airport,Ues-Avia Aircompany,Boeing 717
Adelaide International Airport,Kingscote Airport,Alghanim,Saab SF340A/B
Adelaide International Airport,Kuala Lumpur International Airport,Star Up,Airbus A330
Adelaide International Airport,Melbourne International Airport,Transbrasil;Hellenic Star Airways;Windrose Air,Embraer 190;Airbus A320
Adelaide International Airport,Mildura Airport,Alghanim,Saab SF340A/B
Adelaide International Airport,Mount Gambier Airport,Alghanim,Saab SF340A/B
Adelaide International Airport,Ngurah Rai (Bali) International Airport,Transbrasil,Airbus A320
Adelaide International Airport,Olympic Dam Airport,Ues-Avia Aircompany,Fokker 50
Adelaide International Airport,Perth International Airport,Transbrasil;Hellenic Star Airways,Embraer 190;Airbus A320
Adelaide International Airport,Port Lincoln Airport,Ues-Avia Aircompany;Alghanim,De Havilland Canada DHC-8-400 Dash 8Q;Saab SF340A/B
Adelaide International Airport,Singapore Changi Airport,Safari Express Cargo;Hellenic Star Airways;WRA Inc,Airbus A330-300
Adelaide International Airport,Sydney Kingsford Smith International Airport,Hellenic Star Airways;Windrose Air;Ues-Avia Aircompany;Transbrasil;SAM Colombia,Embraer 190;Boeing 717;Boeing 737;Airbus A320
Adelaide International Airport,Whyalla Airport,Alghanim,Saab SF340A/B
Aden Adde International Airport,Berbera Airport,Taban Air Lines,Boeing 737
Aden Adde International Airport,Djibouti-Ambouli Airport,Servicios Aeronauticos Aero Personal;White,Airbus A321;Airbus A320
Aden Adde International Airport,Jomo Kenyatta International Airport,Pyramid Air Lines,Boeing 737
Aden International Airport,Abha Regional Airport,S.P. Aviation,Canadair Regional Jet 700
Aden International Airport,Abu Dhabi International Airport,Servicios Aereos Universitarios,Airbus A320
Aden International Airport,Aden Adde International Airport,S.P. Aviation,Canadair Regional Jet 700
Aden International Airport,Asmara International Airport,Xerox Corporation,Airbus A320
Aden International Airport,Cairo International Airport,Servicios Aereos Universitarios,Airbus A320
Aden International Airport,Chhatrapati Shivaji International Airport,Servicios Aereos Universitarios,Airbus A320
Aden International Airport,Dubai International Airport,Xerox Corporation;Servicios Aereos Universitarios,Airbus A310;Airbus A320
Aden International Airport,Hamad International Airport,Servicios Aereos Universitarios,Airbus A320
Aden International Airport,Istanbul Airport,White,Boeing 737-800
Aden International Airport,King Abdulaziz International Airport,Walter I Linkoping;Servicios Aereos Universitarios,Airbus A330;Airbus A320
Aden International Airport,King Fahd International Airport,Servicios Aereos Universitarios;S.P. Aviation,Canadair Regional Jet 700
Aden International Airport,King Khaled International Airport,Servicios Aereos Universitarios,Airbus A310
Aden International Airport,Mukalla International Airport,S.P. Aviation,Canadair Regional Jet 700
Aden International Airport,Queen Alia International Airport,Servicios Aereos Universitarios;Vega Air Company,Airbus A310;Embraer 195;Embraer 175;Airbus A320
Aden International Airport,Sana'a International Airport,Servicios Aereos Universitarios;S.P. Aviation,Canadair Regional Jet 700;Canadair Regional Jet 200;Airbus A310;Airbus A320
Aden International Airport,Sayun International Airport,S.P. Aviation,Canadair Regional Jet 700
Aden International Airport,Sharjah International Airport,S.P. Aviation,Canadair Regional Jet 700
Adi Sumarmo Wiryokusumo Airport,Iskandar Airport,South Pacific Island Airways,Aerospatiale/Alenia ATR 72
Adi Sumarmo Wiryokusumo Airport,Kuala Lumpur International Airport,Seven Bar Flying Service,Airbus A320
Adi Sumarmo Wiryokusumo Airport,Singapore Changi Airport,SANSA;Trans American Airlines (Trans Am);WRA Inc,Airbus A319;Airbus A320
Adi Sumarmo Wiryokusumo Airport,Soekarno-Hatta International Airport,SANSA;TAB Express International;Vointeh,Boeing 737-500;Boeing 737-900;Boeing 737-300;Boeing 737-800
Adi Sutjipto International Airport,Hang Nadim International Airport,TAB Express International,Boeing 737-800
Adi Sutjipto International Airport,Hasanuddin International Airport,SANSA;TAB Express International,Boeing 737-900;Canadair Regional Jet 1000
Adi Sutjipto International Airport,Husein Sastranegara International Airport,TAB Express International,Aerospatiale/Alenia ATR 42-600
Adi Sutjipto International Airport,Juanda International Airport,TAB Express International;Vointeh,Boeing 737-500;Aerospatiale/Alenia ATR 42-600
Adi Sutjipto International Airport,Kuala Lumpur International Airport,Seven Bar Flying Service,Airbus A320
Adi Sutjipto International Airport,Lombok International Airport,TAB Express International,Boeing 737-800
Adi Sutjipto International Airport,Ngurah Rai (Bali) International Airport,SANSA;TAB Express International;UTAGE,Boeing 737-900;Boeing 737-800;Airbus A320
Adi Sutjipto International Airport,Singapore Changi Airport,WRA Inc;SANSA;UTAGE;Winair;Trans American Airlines (Trans Am),Airbus A319;Airbus A320
Adi Sutjipto International Airport,Soekarno-Hatta International Airport,SANSA;TAB Express International;UTAGE;Vointeh;Solinair,Boeing 737-800;Boeing 737-500;Boeing 737-900;Airbus A320;Boeing 737-300
Adi Sutjipto International Airport,Sultan Aji Muhamad Sulaiman Airport,SANSA;UFS;TAB Express International;Vointeh,Boeing 737-900;Boeing 737-300;Canadair Regional Jet 1000;Airbus A320
Adi Sutjipto International Airport,Sultan Mahmud Badaruddin II Airport,Vega,Airbus A320
Adi Sutjipto International Airport,Sultan Syarif Kasim Ii (Simpang Tiga) Airport,TAB Express International;Vega,Boeing 737-800;Airbus A320
Adi Sutjipto International Airport,Syamsudin Noor Airport,TAB Express International,Boeing 737-900
Adiyaman Airport,Esenboga International Airport,White,Boeing 737-800
Adiyaman Airport,Istanbul Airport,White,Boeing 737-800;Airbus A320
Adnan Menderes International Airport,Adana Airport,Executive AirShare;Tas Aviation,Boeing 737-800
Adnan Menderes International Airport,Amsterdam Airport Schiphol,Executive AirShare;Tas Aviation,Boeing 737-800
Adnan Menderes International Airport,Antalya International Airport,Executive AirShare;Tas Aviation,Boeing 737-800
Adnan Menderes International Airport,Berlin-Tegel Airport,Executive AirShare,Boeing 737-800
Adnan Menderes International Airport,Bremen Airport,Executive AirShare,Boeing 737-800
Adnan Menderes International Airport,Brussels Airport,Tas Aviation,Boeing 737-800
Adnan Menderes International Airport,Charles de Gaulle International Airport,Executive AirShare;Samar Air,Boeing 737-800;Airbus A320
Adnan Menderes International Airport,Cologne Bonn Airport,Executive AirShare,Boeing 737-800
Adnan Menderes International Airport,Copenhagen Kastrup Airport,Executive AirShare,Boeing 737-800
Adnan Menderes International Airport,Diyarbakir Airport,Executive AirShare;Tas Aviation,Boeing 737-800
Adnan Menderes International Airport,Dortmund Airport,Executive AirShare,Boeing 737-800
Adnan Menderes International Airport,Dublin Airport,Surninam International Victory Airline,Airbus A320
Adnan Menderes International Airport,Dusseldorf Airport,Executive AirShare;Tas Aviation,Boeing 737-800
Adnan Menderes International Airport,Elazig Airport,Tas Aviation,Boeing 737-800
Adnan Menderes International Airport,Eleftherios Venizelos International Airport,Tas Aviation,Boeing 737-800
Adnan Menderes International Airport,Ercan International Airport,Tas Aviation;Trabajos Aereos Murcianos,Boeing 737-800;Airbus A320
Adnan Menderes International Airport,Esenboga International Airport,White;Tas Aviation,Boeing 737-800;Boeing 737-700
Adnan Menderes International Airport,EuroAirport Basel-Mulhouse-Freiburg Airport,Executive AirShare;Tas Aviation,Boeing 737-800
Adnan Menderes International Airport,Frankfurt am Main Airport,Executive AirShare,Boeing 737-800
Adnan Menderes International Airport,Gaziantep International Airport,Executive AirShare;Tas Aviation,Boeing 737-800
Adnan Menderes International Airport,Hamburg Airport,White;Executive AirShare,Boeing 737-800;Airbus A320
Adnan Menderes International Airport,Hannover Airport,Executive AirShare,Boeing 737-800
Adnan Menderes International Airport,Hatay Airport,Tas Aviation,Boeing 737-800
Adnan Menderes International Airport,Helsinki Vantaa Airport,Executive AirShare,Boeing 737-800
Adnan Menderes International Airport,Istanbul Airport,White;Tas Aviation;Royal Air Force;Trabajos Aereos Murcianos,Boeing 737-800;Airbus A340-300;Boeing 737-900;Airbus A320;Airbus A319;Airbus A321;Airbus A330;Boeing 777-300ER
Adnan Menderes International Airport,Kayseri Erkilet Airport,Executive AirShare;Tas Aviation,Boeing 737-800
Adnan Menderes International Airport,London Gatwick Airport,Woodgate Executive Air Charter,Airbus A320
Adnan Menderes International Airport,London Stansted Airport,Tas Aviation,Boeing 737-800
Adnan Menderes International Airport,Lyon Saint-Exupery Airport,Executive AirShare,Boeing 737-800
Adnan Menderes International Airport,Mardin Airport,Tas Aviation,Boeing 737-800
Adnan Menderes International Airport,Munich Airport,Eagle Canyon Airlines;Executive AirShare,Boeing 737-800;Airbus A319;Airbus A321;Airbus A320
Adnan Menderes International Airport,Nantes Atlantique Airport,Executive AirShare,Boeing 737-800
Adnan Menderes International Airport,Sabiha Gokcen International Airport,White;Executive AirShare;Tas Aviation,Boeing 737-800;Airbus A320
Adnan Menderes International Airport,Sanliurfa GAP Airport,Tas Aviation,Boeing 737-800
Adnan Menderes International Airport,Sivas Nuri Airport,Tas Aviation,Boeing 737-800
Adnan Menderes International Airport,Stockholm-Arlanda Airport,Executive AirShare,Boeing 737-800
Adnan Menderes International Airport,Strasbourg Airport,Executive AirShare,Boeing 737-800
Adnan Menderes International Airport,Stuttgart Airport,Executive AirShare;Tas Aviation,Boeing 737-800
Adnan Menderes International Airport,Trabzon International Airport,Executive AirShare;Tas Aviation,Boeing 737-800
Adnan Menderes International Airport,Vienna International Airport,Executive AirShare,Boeing 737-800
Adnan Menderes International Airport,Zurich Airport,Executive AirShare,Boeing 737-800
Adolfo Suarez Madrid Barajas Airport,A Coruna Airport,Zephyr Express;Sunbird Airlines;Sunshine Air Tours,Embraer 190;Airbus A319;Airbus A321;Airbus A320
Adolfo Suarez Madrid Barajas Airport,Alfonso Bonilla Aragon International Airport,Socofer,Airbus A330
Adolfo Suarez Madrid Barajas Airport,Alghero-Fertilia Airport,Sky Wings Airlines,Boeing 737-800
Adolfo Suarez Madrid Barajas Airport,Almeria International Airport,Zephyr Express;Sunshine Air Tours,Canadair Regional Jet 200;Canadair Regional Jet 1000;Canadair Regional Jet 900;Aerospatiale/Alenia ATR 42-600;Aerospatiale/Alenia ATR 72
Adolfo Suarez Madrid Barajas Airport,Amsterdam Airport Schiphol,Zephyr Express;Thai Flying Helicopter Service;Tramson Limited,Boeing 737-800;Boeing 737
Adolfo Suarez Madrid Barajas Airport,Asturias Airport,Zephyr Express;Sunshine Air Tours,Airbus A319;Aerospatiale/Alenia ATR 42-600;Airbus A320
Adolfo Suarez Madrid Barajas Airport,Badajoz Airport,Zephyr Express,Aerospatiale/Alenia ATR 42-600
Adolfo Suarez Madrid Barajas Airport,Barcelona International Airport,Zephyr Express;Grand China Air;Sunshine Air Tours,Airbus A320;Airbus A330-300;Airbus A319;Airbus A321;Airbus A330-200
Adolfo Suarez Madrid Barajas Airport,Beijing Capital International Airport,Tranporte Aereo Dominicano;Sheremetyevo-Cargo,Airbus A330
Adolfo Suarez Madrid Barajas Airport,Ben Gurion International Airport,Trans Air-Benin;Sunshine Air Tours,Boeing 737-900;Airbus A319;Boeing 737-800
Adolfo Suarez Madrid Barajas Airport,Berlin-Schonefeld Airport,Woodgate Executive Air Charter,Airbus A319;Airbus A320
Adolfo Suarez Madrid Barajas Airport,Berlin-Tegel Airport,Sunshine Air Tours;Servicios Aereos Nacionales,Boeing 737-800;Airbus A320
Adolfo Suarez Madrid Barajas Airport,Bilbao Airport,Zephyr Express;Sunshine Air Tours,Embraer 190;Airbus A319;Airbus A321;Airbus A320
Adolfo Suarez Madrid Barajas Airport,Bologna Guglielmo Marconi Airport,Sky Wings Airlines;Sunshine Air Tours,Boeing 737-800;Canadair Regional Jet 1000
Adolfo Suarez Madrid Barajas Airport,Bordeaux-Merignac Airport,Sunshine Air Tours,Canadair Regional Jet 900;Canadair Regional Jet 1000
Adolfo Suarez Madrid Barajas Airport,Boryspil International Airport,United Arabian Airlines;Sunshine Air Tours,Boeing 737-800;Boeing 737-700;Boeing 737
Adolfo Suarez Madrid Barajas Airport,Bristol Airport,Woodgate Executive Air Charter,Airbus A319;Airbus A320
Adolfo Suarez Madrid Barajas Airport,Brussels Airport,Sky Bahamas;Sunshine Air Tours;Zephyr Express;Shans Air;Volga Aviaexpress,Embraer 190;Avro RJ100;Airbus A320;Airbus A319;Airbus A321
Adolfo Suarez Madrid Barajas Airport,Brussels South Charleroi Airport,Sky Wings Airlines,Boeing 737-800
Adolfo Suarez Madrid Barajas Airport,Budapest Liszt Ferenc International Airport,Sky Wings Airlines;Finlandian,Boeing 737-800;Airbus A320
Adolfo Suarez Madrid Barajas Airport,Cagliari Elmas Airport,Sky Wings Airlines,Boeing 737-800
Adolfo Suarez Madrid Barajas Airport,Cairo International Airport,Egyptair,Boeing 737-800
Adolfo Suarez Madrid Barajas Airport,Cancun International Airport,Zephyr Express;Sky Bahamas;Sevastopol-Avia,Airbus A330-300
Adolfo Suarez Madrid Barajas Airport,Carrasco International /General C L Berisso Airport,Zephyr Express,Airbus A330-200
Adolfo Suarez Madrid Barajas Airport,Casa De Campo International Airport,Zephyr Express,Airbus A330-300
Adolfo Suarez Madrid Barajas Airport,Catania-Fontanarossa Airport,Sky Wings Airlines,Boeing 737-800
Adolfo Suarez Madrid Barajas Airport,Charles de Gaulle International Airport,Sham Wing Airlines;Grand China Air;Woodgate Executive Air Charter,Airbus A318;Airbus A319;Airbus A321;Airbus A320
Adolfo Suarez Madrid Barajas Airport,Chicago O'Hare International Airport,Servicios Aereos de Chihuahua Aerochisa;Skydrift;SAM Colombia;Sunshine Air Tours,Airbus A330-300;Airbus A330
